49	KCl/Polymer 1.75sg 10degC	1
79,4	12,2
63,1	11,5
50,1	10,9
39,8	10,3
31,6	9,86
25,1	9,43
20	9,03
15,8	8,66
12,6	8,28
10	7,98
7,94	7,76
6,31	7,51
5,01	7,27
3,98	7,05
3,16	6,83
2,51	6,63
2	6,44
1,58	6,25
1,26	6,07
1	5,9

92	Xan+50 KCl+0 barite 25%	1
100	28,6
79,4	26,2
63,1	24
50,1	22,1
39,8	20,5
31,6	19
25,1	17,7
20	16,6
15,8	15,5
12,6	14,6
10	13,8
7,94	13,1
6,31	12,4
5,01	11,8
3,98	11,3
3,16	10,8
2,51	10,4
2	9,96
1,58	9,6
1,26	9,26
1	8,95

93	Xan+50 KCl+0 barite 21%	1
100	25,6
79,4	23,6
63,1	21,7
50,1	20,2
39,8	18,8
31,6	17,5
25,1	16,4
20	15,4
15,8	14,5
12,6	13,7
10	12,9
7,94	12,3
6,31	11,7
5,01	11,2
3,98	10,7
3,16	10,2
2,51	9,81
2	9,45
1,58	9,11
1,26	8,79
1	8,49

94	Xan+50 KCl+0 barite 18%	1
100	23
79,4	21,1
63,1	19,8
50,1	18,5
39,8	17,3
31,6	16,2
25,1	15,2
20	14,3
15,8	13,5
12,6	12,8
10	12,2
7,94	11,6
6,31	11,1
5,01	10,6
3,98	10,1
3,16	9,72
2,51	9,35
2	9,01
1,58	8,69
1,26	8,39
1	8,11

95	Xan+50 KCl+0 barite 15%	1
100	20,6
79,4	19,1
63,1	17,8
50,1	16,7
39,8	15,6
31,6	14,7
25,1	13,9
20	13,2
15,8	12,5
12,6	11,9
10	11,3
7,94	10,8
6,31	10,3
5,01	9,9
3,98	9,51
3,16	9,14
2,51	8,81
2	8,5
1,58	8,21
1,26	7,93
1	7,67

96	Xan+50 KCl+0 barite 12%	1
100	18,4
79,4	17,1
63,1	16
50,1	15
39,8	14,1
31,6	13,3
25,1	12,6
20	12
15,8	11,4
12,6	10,9
10	10,4
7,94	9,97
6,31	9,56
5,01	9,19
3,98	8,85
3,16	8,52
2,51	8,23
2	7,95
1,58	7,69
1,26	7,44
1	7,21

97	Xan+50 KCl+0 barite 9%	1
100	17,2
79,4	16,1
63,1	15,1
50,1	14,2
39,8	13,4
31,6	12,6
25,1	12,1
20	11,5
15,8	11
12,6	10,5
10	10,1
7,94	9,66
6,31	9,28
5,01	8,94
3,98	8,62
3,16	8,31
2,51	8,03
2	7,77
1,58	7,52
1,26	7,28
1	7,05

98	Xan+50 KCl+0 barite 6%	1
100	15,6
79,4	14,6
63,1	13,8
50,1	13
39,8	12,3
31,6	11,7
25,1	11,1
20	10,5
15,8	10,2
12,6	9,76
10	9,37
7,94	9,02
6,31	8,69
5,01	8,38
3,98	8,1
3,16	7,83
2,51	7,58
2	7,34
1,58	7,11
1,26	6,89
1	6,69

99	Xan+50 KCl+0 barite 3%	1
100	14,2
79,4	13,4
63,1	12,6
50,1	11,9
39,8	11,3
31,6	10,8
25,1	10,3
20	9,82
15,8	9,41
12,6	9,04
10	8,7
7,94	8,39
6,31	8,09
5,01	7,82
3,98	7,57
3,16	7,33
2,51	7,1
2	6,89
1,58	6,68
1,26	6,47
1	6,28

100	Xan+50 KCl+0 barite 0%	1
100	13,2
79,4	12,4
63,1	11,7
50,1	11,1
39,8	10,6
31,6	10,1
25,1	9,65
20	9,24
15,8	8,88
12,6	8,55
10	8,25
7,94	7,96
6,31	7,7
5,01	7,46
3,98	7,23
3,16	7,01
2,51	6,81
2	6,62
1,58	6,43
1,26	6,25
1	6,07

101	Xan+0 KCl+0 barite 24%	1
100	16
79,4	14,4
63,1	13
50,1	11,8
39,8	10,8
31,6	9,84
25,1	9,04
20	8,34
15,8	7,72
12,6	7,18
10	6,7
7,94	6,28
6,31	5,9
5,01	5,57
3,98	5,27
3,16	5
2,51	4,76
2	4,54
1,58	4,35
1,26	4,17
1	4

102	Xan+0 KCl+0 barite 21%	1
100	14,9
79,4	13,5
63,1	12,2
50,1	11,1
39,8	10,2
31,6	9,37
25,1	8,64
20	8
15,8	7,43
12,6	6,93
10	6,48
7,94	6,09
6,31	5,73
5,01	5,42
3,98	5,14
3,16	4,88
2,51	4,65
2	4,44
1,58	4,25
1,26	4,07
1	3,91

103	Xan+0 KCl+0 barite 19%	1
100	13,8
79,4	12,5
63,1	11,4
50,1	10,4
39,8	9,6
31,6	8,85
25,1	8,19
20	7,61
15,8	7,09
12,6	6,63
10	6,22
7,94	5,86
6,31	5,53
5,01	5,23
3,98	4,97
3,16	4,73
2,51	4,51
2	4,31
1,58	4,12
1,26	3,95
1	3,8

104	Xan+0 KCl+0 barite 17%	1
100	12,7
79,4	11,6
63,1	10,6
50,1	9,73
39,8	8,97
31,6	8,31
25,1	7,72
20	7,19
15,8	6,72
12,6	6,3
10	5,93
7,94	5,6
6,31	5,3
5,01	5,02
3,98	4,78
3,16	4,55
2,51	4,35
2	4,16
1,58	3,99
1,26	3,83
1	3,67

105	Xan+0 KCl+0 barite 15%	1
100	12,3
79,4	11,2
63,1	10,3
50,1	9,51
39,8	8,8
31,6	8,18
25,1	7,62
20	7,12
15,8	6,67
12,6	6,27
10	5,91
7,94	5,59
6,31	5,29
5,01	5,03
3,98	4,78
3,16	4,56
2,51	4,35
2	4,17
1,58	3,99
1,26	3,83
1	3,67

106	Xan+0 KCl+0 barite 13%	1
100	11,5
79,4	10,6
63,1	9,73
50,1	9,01
39,8	8,37
31,6	7,8
25,1	7,29
20	6,83
15,8	6,42
12,6	6,05
10	5,71
7,94	5,41
6,31	5,13
5,01	4,88
3,98	4,65
3,16	4,44
2,51	4,24
2	4,06
1,58	3,89
1,26	3,73
1	3,58

107	Xan+0 KCl+0 barite 11%	1
100	10,8
79,4	9,93
63,1	9,17
50,1	8,51
39,8	7,92
31,6	7,41
25,1	6,94
20	6,52
15,8	6,14
12,6	5,8
10	5,49
7,94	5,21
6,31	4,95
5,01	4,72
3,98	4,5
3,16	4,3
2,51	4,11
2	3,94
1,58	3,78
1,26	3,63
1	3,48

108	Xan+0 KCl+0 barite 9%	1
100	10,2
79,4	9,38
63,1	8,69
50,1	8,08
39,8	7,55
31,6	7,08
25,1	6,65
20	6,27
15,8	5,93
12,6	5,61
10	5,33
7,94	5,07
6,31	4,83
5,01	4,61
3,98	4,41
3,16	4,23
2,51	4,05
2	3,89
1,58	3,74
1,26	3,6
1	3,46

109	Xan+0 KCl+0 barite 7%	1
100	9,5
79,4	8,79
63,1	8,17
50,1	7,62
39,8	7,14
31,6	6,71
25,1	6,32
20	5,97
15,8	5,65
12,6	5,37
10	5,1
7,94	4,87
6,31	4,65
5,01	4,44
3,98	4,26
3,16	4,08
2,51	3,92
2	3,77
1,58	3,62
1,26	3,49
1	3,36

110	Xan+0 KCl+0 barite5%	1
100	9,12
79,4	8,46
63,1	7,89
50,1	7,38
39,8	6,93
31,6	6,52
25,1	6,16
20	5,83
15,8	5,53
12,6	5,26
10	5,01
7,94	4,79
6,31	4,58
5,01	4,38
3,98	4,2
3,16	4,04
2,51	3,88
2	3,73
1,58	3,59
1,26	3,46
1	3,33

111	Xan+0 KCl+0 barite 3%	1
100	8,64
79,4	8,04
63,1	7,51
50,1	7,04
39,8	6,63
31,6	6,25
25,1	5,92
20	5,61
15,8	5,33
12,6	5,08
10	4,85
7,94	4,64
6,31	4,44
5,01	4,26
3,98	4,09
3,16	3,93
2,51	3,78
2	3,64
1,58	3,5
1,26	3,37
1	3,25

112	Xan+0 KCl+0 barite 1%	1
100	8,24
79,4	7,69
63,1	7,19
50,1	6,76
39,8	6,37
31,6	6,02
25,1	5,7
20	5,42
15,8	5,16
12,6	4,92
10	4,7
7,94	4,5
6,31	4,32
5,01	4,14
3,98	3,98
3,16	3,83
2,51	3,69
2	3,55
1,58	3,42
1,26	3,3
1	3,18

113	Xan+0 KCl+0 barite 0%	1
100	8,06
79,4	7,53
63,1	7,05
50,1	6,63
39,8	6,26
31,6	5,92
25,1	5,62
20	5,34
15,8	5,09
12,6	4,86
10	4,65
7,94	4,45
6,31	4,27
5,01	4,1
3,98	3,94
3,16	3,8
2,51	3,65
2	3,52
1,58	3,4
1,26	3,27
1	3,16

114	Xan+0 KCl+25 barite 23%	1
100	18,5
79,4	16,7
63,1	15,1
50,1	13,8
39,8	12,6
31,6	11,6
25,1	10,6
20	9,85
15,8	9,14
12,6	8,51
10	7,95
7,94	7,46
6,31	7,02
5,01	6,63
3,98	6,28
3,16	5,96
2,51	5,68
2	5,43
1,58	5,2
1,26	4,98
1	4,79

115	Xan+0 KCl+25 barite 21%	1
100	16,2
79,4	14,7
63,1	13,4
50,1	12,3
39,8	11,3
31,6	10,4
25,1	9,65
20	8,97
15,8	8,36
12,6	7,81
10	7,33
7,94	6,9
6,31	6,51
5,01	6,16
3,98	5,85
3,16	5,56
2,51	5,3
2	5,07
1,58	4,85
1,26	4,65
1	4,46

116	Xan+0 KCl+25 barite 18%	1
100	14,4
79,4	13,1
63,1	12
50,1	11,1
39,8	10,2
31,6	9,48
25,1	8,81
20	8,22
15,8	7,69
12,6	7,22
10	6,8
7,94	6,41
6,31	6,07
5,01	5,76
3,98	5,48
3,16	5,22
2,51	4,98
2	4,77
1,58	4,56
1,26	4,38
1	4,2

117	Xan+0 KCl+25 barite 15%	1
100	12,6
79,4	11,6
63,1	10,7
50,1	9,9
39,8	9,19
31,6	8,56
25,1	8
20	7,49
15,8	7,04
12,6	6,63
10	6,26
7,94	5,93
6,31	5,63
5,01	5,35
3,98	5,1
3,16	4,87
2,51	4,65
2	4,46
1,58	4,27
1,26	4,1
1	3,94

118	Xan+0 KCl+25 barite 12%	1
100	11,6
79,4	10,7
63,1	9,89
50,1	9,19
39,8	8,58
31,6	8,03
25,1	7,53
20	7,09
15,8	6,68
12,6	6,31
10	5,98
7,94	5,68
6,31	5,4
5,01	5,14
3,98	4,91
3,16	4,69
2,51	4,49
2	4,3
1,58	4,12
1,26	3,96
1	3,8

119	Xan+0 KCl+25 barite 9%	1
100	10,6
79,4	9,84
63,1	9,13
50,1	8,51
39,8	7,96
31,6	7,48
25,1	7,04
20	6,64
15,8	6,29
12,6	5,96
10	5,66
7,94	5,39
6,31	5,13
5,01	4,9
3,98	4,69
3,16	4,49
2,51	4,3
2	4,13
1,58	3,96
1,26	3,8
1	3,65

120	Xan+0 KCl+25 barite 6%	1
100	9,56
79,4	8,87
63,1	8,26
50,1	7,72
39,8	7,25
31,6	6,82
25,1	6,44
20	6,09
15,8	5,78
12,6	5,49
10	5,23
7,94	4,99
6,31	4,77
5,01	4,56
3,98	4,37
3,16	4,19
2,51	4,02
2	3,87
1,58	3,72
1,26	3,57
1	3,44

121	Xan+0 KCl+25 barite 3%	1
100	8,24
79,4	7,69
63,1	7,19
50,1	6,76
39,8	6,37
31,6	6,02
25,1	5,7
20	5,42
15,8	5,16
12,6	4,92
10	4,7
7,94	4,5
6,31	4,32
5,01	4,14
3,98	3,98
3,16	3,83
2,51	3,69
2	3,55
1,58	3,42
1,26	3,3
1	3,18

122	Xan+0 KCl+25 barite 0%	1
100	7,97
79,4	7,44
63,1	6,97
50,1	6,55
39,8	6,17
31,6	5,84
25,1	5,53
20	5,26
15,8	5,01
12,6	4,78
10	4,57
7,94	4,38
6,31	4,2
5,01	4,03
3,98	3,88
3,16	3,73
2,51	3,59
2	3,47
1,58	3,34
1,26	3,22
1	3,1

123	Xan+0 KCl+50 barite 24%	1
100	18,9
79,4	17,1
63,1	15,5
50,1	14,2
39,8	13
31,6	11,9
25,1	11
20	10,2
15,8	9,48
12,6	8,85
10	8,28
7,94	7,79
6,31	7,34
5,01	6,94
3,98	6,59
3,16	6,26
2,51	5,97
2	5,71
1,58	5,47
1,26	5,25
1	5,05

124	Xan+0 KCl+50 barite 21%	1
100	16,6
79,4	15,1
63,1	13,8
50,1	12,6
39,8	11,6
31,6	10,8
25,1	9,97
20	9,27
15,8	8,65
12,6	8,1
10	7,61
7,94	7,17
6,31	6,78
5,01	6,42
3,98	6,1
3,16	5,81
2,51	5,54
2	5,3
1,58	5,08
1,26	4,88
1	4,68

125	Xan+0 KCl+50 barite 18%	1
100	14,8
79,4	13,5
63,1	12,4
50,1	11,4
39,8	10,6
31,6	9,83
25,1	9,15
20	8,54
15,8	8
12,6	7,52
10	7,08
7,94	6,69
6,31	6,33
5,01	6,01
3,98	5,72
3,16	5,45
2,51	5,2
2	4,98
1,58	4,77
1,26	4,58
1	4,39

126	Xan+0 KCl+50 barite 15%	1
100	13,2
79,4	12,1
63,1	11,2
50,1	10,3
39,8	9,61
31,6	8,96
25,1	8,38
20	7,85
15,8	7,38
